name,tag,sum_cards_earned,win_ratio,unplayed_battles,battles_dict_0_created_date,battles_dict_0_cards_earned,battles_dict_0_battles_played,battles_dict_0_wins,battles_dict_1_created_date,battles_dict_1_cards_earned,battles_dict_1_battles_played,battles_dict_1_wins,battles_dict_2_created_date,battles_dict_2_cards_earned,battles_dict_2_battles_played,battles_dict_2_wins,battles_dict_3_created_date,battles_dict_3_cards_earned,battles_dict_3_battles_played,battles_dict_3_wins,battles_dict_4_created_date,battles_dict_4_cards_earned,battles_dict_4_battles_played,battles_dict_4_wins,battles_dict_5_created_date,battles_dict_5_cards_earned,battles_dict_5_battles_played,battles_dict_5_wins,battles_dict_6_created_date,battles_dict_6_cards_earned,battles_dict_6_battles_played,battles_dict_6_wins,battles_dict_7_created_date,battles_dict_7_cards_earned,battles_dict_7_battles_played,battles_dict_7_wins,battles_dict_8_created_date,battles_dict_8_cards_earned,battles_dict_8_battles_played,battles_dict_8_wins,battles_dict_9_created_date,battles_dict_9_cards_earned,battles_dict_9_battles_played,battles_dict_9_wins
Neonstar,9U0GC9YGL,1200.0,0.0,1,20180918T020110.000Z,720,1,0,20180916T004659.000Z,480,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oso givingpanic,2YCC2G0L8,3120.0,0.42857142857142855,2,,,,,20180916T004659.000Z,480,1,1,,,,,20180911T235914.000Z,600,0,0,,,,,20180907T212805.000Z,360,2,0,,,,,20180903T211717.000Z,600,0,0,20180901T203611.000Z,480,1,1,20180830T194223.000Z,600,1,1
Peacemover,28V8JQ8R,4090.0,0.14285714285714285,2,20180918T020110.000Z,420,0,0,,,,,20180914T003101.000Z,700,0,0,20180911T235914.000Z,840,1,0,20180909T235640.000Z,560,1,1,20180907T212805.000Z,560,1,0,,,,,20180903T211717.000Z,560,1,0,,,,,20180830T194223.000Z,450,1,0
reedmachine,9UVP9GVC,3680.0,0.3333333333333333,1,20180918T020110.000Z,480,1,1,,,,,20180914T003101.000Z,360,1,1,20180911T235914.000Z,360,1,0,20180909T235640.000Z,480,1,0,20180907T212805.000Z,360,1,1,20180905T212231.000Z,480,1,0,20180903T211717.000Z,650,1,0,20180901T203611.000Z,120,0,0,20180830T194223.000Z,390,1,0
Ripcord(er),JRJQ00VY,6880.0,0.6,0,,,,,20180916T004659.000Z,800,1,1,20180914T003101.000Z,960,1,0,20180911T235914.000Z,800,1,0,20180909T235640.000Z,800,1,0,20180907T212805.000Z,800,2,2,20180905T212231.000Z,640,1,1,20180903T211717.000Z,480,1,1,20180901T203611.000Z,800,1,0,20180830T194223.000Z,800,1,1
ryandrisc,2JV8L8YGJ,4980.0,0.5555555555555556,0,20180918T020110.000Z,560,1,0,,,,,20180914T003101.000Z,720,1,1,20180911T235914.000Z,750,1,1,20180909T235640.000Z,750,1,0,20180907T212805.000Z,560,1,0,20180905T212231.000Z,140,2,1,20180903T211717.000Z,800,1,1,,,,,20180830T194223.000Z,700,1,1
supercell,8YRR00ULC,3490.0,0.125,2,20180918T020110.000Z,650,1,0,20180916T004659.000Z,420,1,0,20180914T003101.000Z,420,1,1,20180911T235914.000Z,560,0,0,20180909T235640.000Z,140,1,0,20180907T212805.000Z,520,1,0,,,,,,,,,20180901T203611.000Z,130,0,0,20180830T194223.000Z,650,1,0
THE_BOSS,9UJ0LUY2,2720.0,0.2857142857142857,3,,,,,20180916T004659.000Z,320,0,0,20180914T003101.000Z,480,1,1,,,,,20180909T235640.000Z,640,1,0,,,,,20180905T212231.000Z,800,2,1,20180903T211717.000Z,320,0,0,20180901T203611.000Z,160,0,0,,,,
thegeek007,2YCQGU2VJ,4720.0,0.4444444444444444,0,20180918T020110.000Z,600,1,1,20180916T004659.000Z,420,1,1,20180914T003101.000Z,570,1,1,20180911T235914.000Z,560,1,0,,,,,20180907T212805.000Z,560,1,0,20180905T212231.000Z,280,1,0,20180903T211717.000Z,280,1,1,20180901T203611.000Z,700,1,0,20180830T194223.000Z,750,1,0
TitanSalty,9P9YYCL29,4410.0,0.4444444444444444,0,,,,,20180916T004659.000Z,520,1,1,20180914T003101.000Z,650,1,0,20180911T235914.000Z,480,1,0,20180909T235640.000Z,480,1,1,20180907T212805.000Z,360,1,1,20180905T212231.000Z,720,1,0,20180903T211717.000Z,480,1,0,20180901T203611.000Z,240,1,1,20180830T194223.000Z,480,1,0
waletr,2UPQVLUY,4900.0,0.5,0,20180918T020110.000Z,560,1,0,20180916T004659.000Z,280,1,0,20180914T003101.000Z,420,1,0,20180911T235914.000Z,700,1,1,20180909T235640.000Z,560,1,0,20180907T212805.000Z,560,1,0,20180905T212231.000Z,560,1,1,20180903T211717.000Z,420,1,1,20180901T203611.000Z,280,1,1,20180830T194223.000Z,560,1,1
wang,9L9LCYY8,7290.0,0.7,0,20180918T020110.000Z,480,1,0,20180916T004659.000Z,800,1,1,20180914T003101.000Z,960,1,1,20180911T235914.000Z,800,1,0,20180909T235640.000Z,640,1,1,20180907T212805.000Z,480,1,1,20180905T212231.000Z,960,1,1,20180903T211717.000Z,850,1,1,20180901T203611.000Z,640,1,1,20180830T194223.000Z,680,1,0
WarNinja,8YVRVGLL,5190.0,0.625,0,20180918T020110.000Z,480,1,0,20180916T004659.000Z,750,1,1,20180914T003101.000Z,600,1,0,20180911T235914.000Z,640,1,0,,,,,20180907T212805.000Z,480,1,1,20180905T212231.000Z,800,1,1,,,,,20180901T203611.000Z,640,1,1,20180830T194223.000Z,800,1,1
xUnKnOwNSmUrFx,8QCGPQPQJ,8000.0,0.6363636363636364,0,20180918T020110.000Z,800,1,1,20180916T004659.000Z,960,1,1,20180914T003101.000Z,960,2,1,20180911T235914.000Z,800,1,0,20180909T235640.000Z,800,1,0,20180907T212805.000Z,800,1,1,20180905T212231.000Z,640,1,1,20180903T211717.000Z,640,1,1,20180901T203611.000Z,800,1,0,20180830T194223.000Z,800,1,1
Папандопулус,9Y0L8QYQJ,1760.0,0.25,1,,,,,20180916T004659.000Z,110,1,0,,,,,,,,,,,,,,,,,20180905T212231.000Z,550,1,1,,,,,20180901T203611.000Z,550,0,0,20180830T194223.000Z,550,1,0
